procs,threads,cols,evos,runtime
6,1,25000,50,42.151087
6,2,25000,50,22.257068
6,3,25000,50,14.802308
6,4,25000,50,11.075760
6,5,25000,50,9.014742
6,6,25000,50,7.780712
6,7,25000,50,6.786185
6,8,25000,50,5.865220
6,9,25000,50,5.353738
6,10,25000,50,4.591278
6,11,25000,50,4.534264
6,12,25000,50,4.274380
6,13,25000,50,3.643744
6,14,25000,50,3.517285
6,15,25000,50,3.179142
6,16,25000,50,3.091750
6,17,25000,50,3.009755
6,18,25000,50,2.739047
6,19,25000,50,2.558765
6,20,25000,50,2.511980
6,21,25000,50,2.373675
6,22,25000,50,2.314884
6,23,25000,50,2.169330
6,24,25000,50,2.382028
6,25,25000,50,2.238671
6,26,25000,50,2.315895
6,27,25000,50,1.922541
6,28,25000,50,1.826059
6,29,25000,50,2.045035
6,30,25000,50,1.756355
6,31,25000,50,1.839045
6,32,25000,50,1.647089
6,33,25000,50,1.593923
6,34,25000,50,1.692897
6,35,25000,50,1.640394
6,36,25000,50,1.467457
6,37,25000,50,1.496678
6,38,25000,50,1.405545
6,39,25000,50,1.661406
6,40,25000,50,1.601565
6,41,25000,50,1.777540
6,42,25000,50,1.524690
6,43,25000,50,1.605919
6,44,25000,50,1.465023
6,45,25000,50,1.784016
6,46,25000,50,1.433964
6,47,25000,50,1.284566
6,48,25000,50,1.309734
6,49,25000,50,1.294728
6,50,25000,50,1.141961
6,51,25000,50,1.160564
6,52,25000,50,1.506343
6,53,25000,50,1.231189
6,54,25000,50,1.102214
6,55,25000,50,1.450899
6,56,25000,50,1.188620
6,57,25000,50,1.426443
6,58,25000,50,1.056200
6,59,25000,50,1.094799
6,60,25000,50,1.037450
6,61,25000,50,1.132289
6,62,25000,50,1.167895
6,63,25000,50,1.146165
6,64,25000,50,1.003974
6,1,25000,50,42.341894
6,2,25000,50,22.367964
6,3,25000,50,14.668926
6,4,25000,50,11.102318
6,5,25000,50,8.928900
6,6,25000,50,7.453209
6,7,25000,50,6.440169
6,8,25000,50,5.749427
6,9,25000,50,5.089126
6,10,25000,50,4.634234
6,11,25000,50,4.200594
6,12,25000,50,3.936696
6,13,25000,50,3.678224
6,14,25000,50,3.555423
6,15,25000,50,3.551118
6,16,25000,50,2.996839
6,17,25000,50,3.025091
6,18,25000,50,2.770957
6,19,25000,50,2.765621
6,20,25000,50,2.515159
6,21,25000,50,2.423832
6,22,25000,50,2.330227
6,23,25000,50,2.510181
6,24,25000,50,2.167275
6,25,25000,50,2.232771
6,26,25000,50,2.055099
6,27,25000,50,2.196056
6,28,25000,50,1.887532
6,29,25000,50,1.956067
6,30,25000,50,2.005283
6,31,25000,50,1.810075
6,32,25000,50,1.728380
6,33,25000,50,1.613636
6,34,25000,50,1.863194
6,35,25000,50,1.500444
6,36,25000,50,1.464464
6,37,25000,50,1.447978
6,38,25000,50,1.417544
6,39,25000,50,1.442091
6,40,25000,50,1.439581
